,v1,wynagrodzenia,losowe2,korekta,podwyzka
1,pracownik 1,88153.78,1575.23445785046,89729.0144578505,TRUE
2,pracownik 2,77493.09,3869.51088556089,81362.6008855609,TRUE
3,pracownik 3,45130.7,219.934009946883,45350.6340099469,TRUE
4,pracownik 4,52446.16,3312.94241128489,55759.1024112849,TRUE
5,pracownik 5,96322.36,5007.00541422702,101329.365414227,TRUE
6,pracownik 6,69466.45,5420.09832686745,74886.5483268674,TRUE
7,pracownik 7,76732.13,-3744.33946446516,72987.7905355348,FALSE
8,pracownik 8,49336.3,-465.409767348319,48870.8902326517,FALSE
9,pracownik 9,72713.99,-1125.11231796816,71588.8776820318,FALSE
10,pracownik 10,90263.5,4048.25109406374,94311.7510940637,TRUE
11,pracownik 11,85841.55,-287.403352558613,85554.1466474414,FALSE
12,pracownik 12,42134.84,-3630.49719948322,38504.3428005168,FALSE
13,pracownik 13,90874.42,3342.71344006993,94217.1334400699,TRUE
14,pracownik 14,46049.64,6204.69282381237,52254.3328238124,TRUE
15,pracownik 15,41000.69,-3410.28188122436,37590.4081187756,FALSE
16,pracownik 16,80558.91,2354.34015281498,82913.250152815,TRUE
17,pracownik 17,77343.52,1749.45782287978,79092.9778228798,TRUE
18,pracownik 18,91831.68,620.132565964013,92451.812565964,TRUE
19,pracownik 19,46213.41,9516.04902045801,55729.459020458,TRUE
20,pracownik 20,70585.8,8425.54000788368,79011.3400078837,TRUE
21,pracownik 21,83568.83,-3401.82483079843,80167.0051692016,FALSE
22,pracownik 22,76065.86,-3642.91297388263,72422.9470261174,FALSE
23,pracownik 23,55570.7,-2760.16374002211,52810.5362599779,FALSE
24,pracownik 24,55940.67,9665.53305159323,65606.2030515932,TRUE
25,pracownik 25,55866.99,-1069.59823286161,54797.3917671384,FALSE
26,pracownik 26,54889.21,-2240.55622820742,52648.6537717926,FALSE
27,pracownik 27,74059.52,764.370269607753,74823.8902696078,TRUE
28,pracownik 28,87724.77,7841.88858815469,95566.6585881547,TRUE
29,pracownik 29,78689.57,5953.7570271641,84643.3270271641,TRUE
30,pracownik 30,51474.35,1977.82130795531,53452.1713079553,TRUE
31,pracownik 31,74799.94,7543.34953264333,82343.2895326433,TRUE
32,pracownik 32,86755.3,3826.23746292666,90581.5374629267,TRUE
33,pracownik 33,83415.7,-4026.65625442751,79389.0437455725,FALSE
34,pracownik 34,57202.23,-1263.10232561082,55939.1276743892,FALSE
35,pracownik 35,87220.54,4126.6973502934,91347.2373502934,TRUE
36,pracownik 36,97835.16,1685.36114739254,99520.5211473925,TRUE
37,pracownik 37,52575.98,4890.11808414944,57466.0980841494,TRUE
38,pracownik 38,95770.35,-4776.29578090273,90994.0542190973,FALSE
39,pracownik 39,84630.7,8895.66765050404,93526.367650504,TRUE
40,pracownik 40,89156.36,1715.93648265116,90872.2964826512,TRUE
41,pracownik 41,94100.05,3223.15700119361,97323.2070011936,TRUE
42,pracownik 42,45836.44,1131.30169804208,46967.7416980421,TRUE
43,pracownik 43,84175.43,8554.13994053379,92729.5699405338,TRUE
44,pracownik 44,68597.16,4957.85268372856,73555.0126837286,TRUE
45,pracownik 45,79667.5,2376.03852525353,82043.5385252535,TRUE
46,pracownik 46,75923.87,-3457.13506103493,72466.7349389651,FALSE
47,pracownik 47,95615.37,5678.56588517316,101293.935885173,TRUE
48,pracownik 48,54330.9,508.020668057725,54838.9206680577,TRUE
49,pracownik 49,42278.95,2438.33677610382,44717.2867761038,TRUE
50,pracownik 50,70601.36,7477.1650438197,78078.5250438197,TRUE
51,pracownik 51,83843.27,-1999.07772592269,81844.1922740773,FALSE
52,pracownik 52,50077.31,3850.8023833856,53928.1123833856,TRUE
53,pracownik 53,93234.67,4915.09437095374,98149.7643709537,TRUE
54,pracownik 54,83284.89,6147.75185589679,89432.6418558968,TRUE
55,pracownik 55,42858.23,8197.10737559944,51055.3373755994,TRUE
56,pracownik 56,89894.53,-4100.07486352697,85794.455136473,FALSE
57,pracownik 57,97778.87,5749.72363654524,103528.593636545,TRUE
58,pracownik 58,43808.89,4820.08906430565,48628.9790643056,TRUE
59,pracownik 59,65620.54,-1306.72108964063,64313.8189103594,FALSE
60,pracownik 60,68245.42,-3839.76005250588,64405.6599474941,FALSE
61,pracownik 61,89832.67,9140.66105498932,98973.3310549893,TRUE
62,pracownik 62,71313.95,3813.25801252387,75127.2080125239,TRUE
63,pracownik 63,48494.93,8789.44200347178,57284.3720034718,TRUE
64,pracownik 64,74008.08,8257.10564968176,82265.1856496818,TRUE
65,pracownik 65,99275.13,1537.56071580574,100812.690715806,TRUE
66,pracownik 66,86763.8,-2931.13613850437,83832.6638614956,FALSE
67,pracownik 67,42169.26,6070.86655800231,48240.1265580023,TRUE
68,pracownik 68,81921.27,-1188.64324991591,80732.6267500841,FALSE
69,pracownik 69,80709.32,424.09814777784,81133.4181477778,TRUE
70,pracownik 70,44421.96,-2757.1130450815,41664.8469549185,FALSE
71,pracownik 71,51734.34,-3523.49335560575,48210.8466443942,FALSE
72,pracownik 72,63837.04,6794.39726634882,70631.4372663488,TRUE
73,pracownik 73,82979.93,6048.24736015871,89028.1773601587,TRUE
74,pracownik 74,54496.56,-3603.62256178632,50892.9374382137,FALSE
75,pracownik 75,73381.11,5474.32825202122,78855.4382520212,TRUE
76,pracownik 76,57835.04,263.142266776413,58098.1822667764,TRUE
77,pracownik 77,64521.97,4353.48483151756,68875.4548315176,TRUE
78,pracownik 78,44026.25,3634.65736270882,47660.9073627088,TRUE
79,pracownik 79,67096.12,5289.60996191017,72385.7299619102,TRUE
80,pracownik 80,67637.89,1905.85978096351,69543.7497809635,TRUE
81,pracownik 81,67180.72,-403.383446391672,66777.3365536083,FALSE
82,pracownik 82,51117.47,6679.22041728161,57796.6904172816,TRUE
83,pracownik 83,58199.73,4669.88606145605,62869.6160614561,TRUE
84,pracownik 84,94321.11,-4230.54042621516,90090.5695737848,FALSE
85,pracownik 85,62966.71,6727.37838001922,69694.0883800192,TRUE
86,pracownik 86,63863.04,2121.63750315085,65984.6775031509,TRUE
87,pracownik 87,40519.73,3905.0887641497,44424.8187641497,TRUE
88,pracownik 88,67310.75,-2716.89971908927,64593.8502809107,FALSE
89,pracownik 89,64500.04,-4785.8700377401,59714.1699622599,FALSE
90,pracownik 90,58920.23,-607.059139292687,58313.1708607073,FALSE
91,pracownik 91,67001.82,2142.67932460643,69144.4993246064,TRUE
92,pracownik 92,79667.57,-2454.7133827582,77212.8566172418,FALSE
93,pracownik 93,49451.45,5734.70047209412,55186.1504720941,TRUE
94,pracownik 94,68723.32,4459.31385038421,73182.6338503842,TRUE
95,pracownik 95,43762.03,-2034.10730231553,41727.9226976845,FALSE
96,pracownik 96,48299.74,4667.70129045472,52967.4412904547,TRUE
97,pracownik 97,85679.47,-3131.57561002299,82547.894389977,FALSE
98,pracownik 98,90633.34,6459.42470058799,97092.764700588,TRUE
99,pracownik 99,98358.54,2089.5750191994,100448.115019199,TRUE
100,pracownik 100,45386.18,-1885.79110428691,43500.3888957131,FALSE
